question_text,topic_name,option_1,option_2,option_3,option_4,option_5,correct_option,explanation,bloom_taxonomy,tags,image_filename
"Dataset Auto loaded with pd.read_csv('Auto.data', na_values=['?'], delim_whitespace=True). You want DataFrame with weight and origin columns for cars built after 1980 (year > 80). Which code achieves this?",Python Data Structures,"idx_80 = Auto['year'] > 1980; Auto_re = Auto.loc[idx_80, ['weight', 'origin']]","idx_80 = Auto['year'] > 80; Auto_re = Auto.loc[idx_80, ['weight', 'origin']]","idx_80 = Auto['year'] <= 80; Auto_re = Auto.loc[idx_80, ['weight', 'origin']]","idx_80 = Auto['year'] > 80; Auto_re.loc[idx_80, ['weight', 'origin']]","Auto_re = Auto[Auto['year'] > 80][['weight', 'origin']]",2,"The year column contains 2-digit years (e.g., 80 for 1980). Option b correctly filters year > 80 and assigns result to Auto_re.",,baseline,
"Consider student data: Sarah(poor,lots,Yes), Dana(average,some,No), Alex(average,some,No), Annie(average,lots,Yes), Emily(excellent,lots,Yes), Pete(excellent,lots,No), John(excellent,lots,No), Kathy(poor,some,No). Using Naive Bayes, compute Score(Hirable=Yes | GPA=poor, Effort=lots).",Probability Distributions,"Score(Yes) = P(Yes) × P(GPA=poor|Yes) × P(Effort=lots|Yes) = 3/8 × 1/3 × 1 = 1/8","Score(Yes) = P(No) × P(GPA=poor|No) × P(Effort=lots|No) = 5/8 × 1/5 × 2/5 = 1/20","Score(Yes) = (1/8)/(1/8 + 1/20) = 5/7","Score(Yes) = P(Yes) × P(GPA=poor|Yes) × P(Effort=lots|Yes) = 1/2 × 1/3 × 1 = 1/6","Score(Yes) = P(Yes) × P(GPA=poor|Yes) × P(Effort=lots|Yes) = 5/8 × 1/3 × 1 = 5/24",1,"P(Yes)=3/8, P(GPA=poor|Yes)=1/3 (1 out of 3 Yes cases), P(Effort=lots|Yes)=3/3=1. Score(Yes) = 3/8 × 1/3 × 1 = 1/8.",,baseline,
"An analyst has 5000 predictors and 200 samples. She selects 100 predictors most correlated with class labels using all samples, then performs 5-fold CV with these 100 predictors. CV error=3%, true test error=50%. Which explains this discrepancy? i. Predictors chosen using all samples caused test fold leakage ii. CV applied only after predictor selection gave optimistic estimate iii. Sample size too small to prevent overfitting iv. Classifier performs poorly with standardized data v. Predictors not filtered by variance",Regression Analysis,ii and iv only,iv only,v only,i and ii only,i only,4,"Both i and ii are correct. Using all samples (including test folds) for predictor selection causes information leakage. CV was applied only after this flawed selection, leading to overly optimistic error estimate.",,baseline,
"Check all binary classifiers that can correctly separate the training data (circles vs triangles) shown in figure (scattered points not linearly separable).",Machine Learning,Logistic regression,Support Vector Machines (SVM) with linear kernel,Support Vector Machines (SVM) with RBF kernel,Decision tree,3-nearest-neighbor classifier (with Euclidean distance),3,"The data points are not linearly separable. SVM with RBF kernel can create non-linear decision boundaries to separate them.",,baseline,
"In Bayesian learning, what does the posterior probability represent?",Probability Distributions,The probability of the observed data given the model parameters,The initial probability of the model before observing data,"The updated probability of a model, after having seen the data",The probability of the data marginalized over all parameter values,The probability of the model being true without considering data,3,"Posterior probability is the updated probability of a hypothesis/model after incorporating observed data. It combines prior probability with likelihood via Bayes' theorem.",,baseline,
"What are support vectors in the context of Support Vector Machines (SVM)?",Machine Learning,The training examples farthest from the decision boundary,The only training examples necessary to compute the decision function f(x) in an SVM,The class centroids (mean points of each class),The directions that maximize the separation between classes,All training examples that are correctly classified by the model,2,"Support vectors are training examples on or within the margin boundaries. They are the only points needed to define the decision boundary; removing other points wouldn't change the classifier.",,baseline,
"According to ensemble methods, which statement about bagging, random forests, and boosting is FALSE?",Machine Learning,Bagging reduces variance by averaging predictions from multiple trees fit to bootstrapped samples,Random forests improve upon bagging by decorrelating trees through feature randomization at each split,"Boosting builds trees sequentially, with each new tree trained on a modified version based on previous trees' residuals",Out-of-bag (OOB) error estimation is available for boosting but not for bagging or random forests,In bagging increasing the number of trees B generally does not lead to overfitting,4,"Statement d is FALSE. OOB error estimation is available for bagging and random forests, NOT for boosting. Each tree is trained on a bootstrap sample, leaving ~1/3 data out-of-bag for error estimation.",,baseline,
"Which statement about decision trees is FALSE?",Machine Learning,Regression trees predict using the mean response in each region,Gini index and entropy measure node purity for classification trees; RSS is for regression trees,"Cost-complexity pruning grows a large tree first, then prunes based on α",Recursive binary splitting is a bottom-up approach,Decision trees handle both quantitative and qualitative predictors,4,"Statement d is FALSE. Recursive binary splitting is a TOP-DOWN (greedy) approach, not bottom-up. It starts at the root and recursively partitions the data.",,baseline,
"Feature vectors {(-2,-2), (-2,0), (1,3), (2,2), (3,4)}. Apply greedy agglomerative hierarchical clustering using centroid linkage. Two visualizations provided (cluster diagrams A,B and dendrograms C,D). Which option shows the correct pair for centroid linkage?",Machine Learning,A and C,A and D,B and C,B and D,None of the pairs,3,"Using centroid linkage, clustering proceeds by merging clusters whose centroids are closest. Diagram B and dendrogram C correctly represent this process.",,baseline,
"Consider the dendrogram with items BA, NA, RM, FI, MI, TO. Using this dendrogram to create 3 clusters, what would the clusters be?",Machine Learning,"{BA, NA}, {RM, FI}, {MI, TO}","{NA, RM}, {BA, FI}, {MI, TO}","{BA, NA, RM, FI}, {MI}, {TO}","{BA, NA, RM}, {FI}, {MI, TO}",None of these,1,"Cutting the dendrogram at the appropriate height to get 3 clusters gives: {BA,NA}, {RM,FI}, and {MI,TO}.",,baseline,
"In simple exponential smoothing forecasting, to give higher weightage to recent demand information, the smoothing constant must be close to:",Forecasting,-1,Zero,0.5,1,None of the above,4,"In exponential smoothing, alpha (smoothing constant) ranges from 0 to 1. Higher alpha gives more weight to recent observations. Alpha close to 1 gives maximum weight to the most recent data.",,baseline,
"For a hotel, actual demand for disposable cups was 600 units in January and 700 units in February. The forecast for January was 500 units. Using simple exponential smoothing (alpha=0.8), what is the forecast for March?",Forecasting,676,576,680,580,612,1,"Feb forecast = 500 + 0.8*(600-500) = 500 + 80 = 580. March forecast = 580 + 0.8*(700-580) = 580 + 96 = 676.",,baseline,
